Database,Category,Guideline,Do,Don't,Code Example
PostgreSQL,Connection,Use connection pooling for efficiency,"Use psycopg2 pool or SQLAlchemy with pool_size","Create new connection for each query","from sqlalchemy import create_engine; engine = create_engine('postgresql://...', pool_size=5)"
PostgreSQL,Query,Use EXPLAIN ANALYZE for query tuning,"EXPLAIN ANALYZE your slow queries; check for seq scans","Optimize blindly without understanding execution plan","EXPLAIN ANALYZE SELECT * FROM orders WHERE date > '2024-01-01'"
PostgreSQL,Indexing,Create indexes on filtered and joined columns,"CREATE INDEX idx_date ON orders(order_date)","Index every column; forget to ANALYZE after","CREATE INDEX CONCURRENTLY to avoid locking"
PostgreSQL,Dates,Use date_trunc for time grouping,"date_trunc('month', order_date)","String manipulation on dates","SELECT date_trunc('day', ts) as day, COUNT(*) FROM events GROUP BY 1"
PostgreSQL,Window,Use window functions for analytics,"OVER (PARTITION BY ... ORDER BY ...)","Self-joins for running totals","SUM(amount) OVER (ORDER BY date ROWS UNBOUNDED PRECEDING)"
PostgreSQL,CTEs,Use CTEs for readable complex queries,"WITH step1 AS (...), step2 AS (...)","Deeply nested subqueries","WITH monthly AS (SELECT date_trunc('month', date) ...) SELECT * FROM monthly"
BigQuery,Cost,Limit scanned data with partitions and clustering,"Use WHERE on partition column; SELECT only needed columns","SELECT * without partition filter","WHERE _PARTITIONDATE BETWEEN '2024-01-01' AND '2024-01-31'"
BigQuery,Partitioning,Partition tables by date for cost and performance,"PARTITION BY DATE(timestamp_column)","Query without partition filter","CREATE TABLE ... PARTITION BY DATE(created_at)"
BigQuery,Slots,Understand slot allocation for query performance,"Use INFORMATION_SCHEMA for slot usage; optimize large scans","Ignore slot exhaustion warnings","SELECT * FROM project.INFORMATION_SCHEMA.JOBS_BY_PROJECT"
BigQuery,UDFs,Use standard SQL before custom JavaScript UDFs,"Built-in functions are optimized","JavaScript UDFs for simple operations","Use SAFE_DIVIDE, IF, CASE instead of JS"
