Metric Name,Abbreviation,Category,Formula,Interpretation,Good Benchmark,Related Metrics,Visualization
Conversion Rate,CVR,Conversion,"Orders / Sessions * 100","Percentage of visits resulting in purchase","2-3% average; 5%+ excellent","AOV, Traffic, Add to Cart Rate",Line chart trend
Add to Cart Rate,ATC Rate,Conversion,"Add to Carts / Sessions * 100","Percentage adding items to cart","5-10% typical","CVR, Cart Abandonment",Funnel
Cart Abandonment Rate,Cart Abandon,Conversion,"(Carts Created - Purchases) / Carts Created * 100","Percentage of carts not converted","~70% average; < 60% is good","Checkout Conversion, Payment Failure",Funnel
Checkout Completion Rate,Checkout,Conversion,"Purchases / Checkout Started * 100","Checkout funnel success","70-80% is good","Cart Abandonment, Payment Methods",Funnel
Average Order Value,AOV,Revenue,"Total Revenue / Number of Orders","Average amount per order","Varies by category; track trend","Revenue, Items per Order",KPI card trend
Revenue Per Visitor,RPV,Revenue,"Total Revenue / Total Visitors","Revenue generated per visit","AOV * CVR","CVR, AOV, Traffic",KPI card
Gross Merchandise Value,GMV,Revenue,"Total value of merchandise sold","Platform transaction volume","Growing MoM/YoY","Revenue, Take Rate",Line chart
Net Revenue,Net Revenue,Revenue,"GMV - Returns - Discounts - Cancellations","Actual revenue after adjustments","Net/Gross ratio trending up","GMV, Return Rate",Line chart
Customer Acquisition Cost,CAC,Acquisition,"Marketing Spend / New Customers","Cost to acquire new customer","CAC < first order margin","LTV, ROAS",KPI card
Customer Lifetime Value,CLV,Acquisition,"AOV * Purchase Frequency * Customer Lifespan","Total expected customer revenue","CLV:CAC > 3:1","CAC, Repeat Rate, AOV",KPI card
Cost Per Order,CPO,Acquisition,"Marketing Spend / Orders","Marketing cost per order","Track by channel","CAC, ROAS",Bar by channel
Return on Ad Spend,ROAS,Acquisition,"Revenue from Ads / Ad Spend","Revenue per advertising dollar","3:1+ typically profitable","CAC, CPO",Line chart
Repeat Purchase Rate,Repeat Rate,Retention,"Customers with 2+ Orders / Total Customers * 100","Customer returning to buy again","> 30% for healthy retention","CLV, Purchase Frequency",Line chart
Purchase Frequency,Frequency,Retention,"Total Orders / Unique Customers (in period)","Average orders per customer","Varies by category; track trend","Repeat Rate, CLV",KPI card
Time Between Purchases,TBP,Retention,"Average days between customer orders","Purchase cycle length","Use for remarketing timing","Frequency, Repeat Rate",Histogram
Reactivation Rate,Reactivation,Retention,"Dormant Customers Who Returned / Total Dormant * 100","Success of win-back campaigns","5-15% typical for campaigns","Churn, Win-back Campaigns",Bar chart
Return Rate,Return Rate,Fulfillment,"Returned Orders / Total Orders * 100","Percentage of orders returned","< 20% most; < 30% apparel","Net Revenue, COGS",Line chart
On-Time Delivery Rate,OTD,Fulfillment,"Orders Delivered On Time / Total Shipped * 100","Shipping reliability","> 95% is excellent","Customer Satisfaction",Gauge
Stock-out Rate,Stockout,Inventory,"Items Out of Stock / Total SKUs * 100","Inventory availability","< 5% for popular items","Inventory Turnover, Lost Sales",Line chart
Inventory Turnover,Inv Turn,Inventory,"COGS / Average Inventory","How fast inventory sells","Higher is better; varies by cat","DOI, Stockout Rate",Bar chart
Days of Inventory,DOI,Inventory,"Average Inventory / (COGS / 365)","Days to sell current inventory","30-60 days typical","Inventory Turnover",KPI card
Website Traffic,Traffic,Traffic,"Total Sessions","Visit volume to site","Growing with quality","Bounce Rate, CVR",Line chart
Bounce Rate,Bounce,Traffic,"Single-page Sessions / Total Sessions * 100","Visitors leaving immediately","< 40% for product pages","Time on Site, Pages/Session",Line chart
Pages per Session,PPS,Traffic,"Total Pageviews / Sessions","Engagement depth","2-4 typical; higher for discovery","Bounce Rate, Time on Site",KPI card
