Metric Name,Abbreviation,Category,Formula,Interpretation,Good Benchmark,Related Metrics,Visualization
Monthly Recurring Revenue,MRR,Revenue,"SUM(active_subscriptions * monthly_price)","Predictable monthly revenue from subscriptions","Growing 10%+ MoM for early stage; 2-3% for mature","ARR, ARPU, Churn",Line chart with trend
Annual Recurring Revenue,ARR,Revenue,"MRR * 12","Annualized predictable revenue","ARR > $1M for Series A; $10M for Series B","MRR, Growth Rate",KPI card with YoY
New MRR,New MRR,Revenue,"SUM(new_customer MRR this period)","Revenue from new customers acquired","Growing indicates sales effectiveness","CAC, Expansion MRR",Stacked bar
Expansion MRR,Expansion MRR,Revenue,"SUM(upsell + cross-sell MRR this period)","Revenue growth from existing customers","> 30% of total growth is healthy","NRR, Upsell Rate",Stacked bar
Churned MRR,Churned MRR,Revenue,"SUM(cancelled subscription MRR this period)","Revenue lost from cancellations","< 2% of total MRR monthly","Churn Rate, NRR",Stacked bar
Net New MRR,Net New MRR,Revenue,"New MRR + Expansion MRR - Churned MRR - Contraction MRR","Net change in recurring revenue","Positive and growing","MRR Growth Rate",Line chart
Average Revenue Per Account,ARPA,Revenue,"Total MRR / Number of Accounts","Average revenue per customer account","Trending up indicates upselling success","MRR, Customer Count",KPI card
Customer Churn Rate,Logo Churn,Retention,"Churned Customers / Total Customers at Start * 100","Percentage of customers lost","< 5% monthly for B2B; < 7% for SMB","Revenue Churn, NRR",Line chart
Revenue Churn Rate,Rev Churn,Retention,"Churned MRR / Starting MRR * 100","Percentage of revenue lost to churn","< 2% monthly for B2B SaaS","Logo Churn, NRR",Line chart
Net Revenue Retention,NRR,Retention,"(MRR Start + Expansion - Contraction - Churn) / MRR Start * 100","Revenue retained + expanded from existing customers","> 100% (best in class > 120%)","GRR, Expansion Rate",Line chart
Gross Revenue Retention,GRR,Retention,"(MRR Start - Contraction - Churn) / MRR Start * 100","Revenue retained excluding expansion","> 90% for enterprise; > 80% for SMB","NRR, Churn Rate",Line chart
Customer Lifetime Value,LTV,Unit Economics,"ARPA * Gross Margin % * (1 / Churn Rate)","Total value of customer relationship","LTV:CAC > 3:1","CAC, Payback Period",KPI card
Customer Acquisition Cost,CAC,Unit Economics,"(Sales + Marketing Spend) / New Customers","Cost to acquire one customer","Varies by segment; track trend","LTV, Payback Period",KPI card trend
LTV to CAC Ratio,LTV:CAC,Unit Economics,"LTV / CAC","Health of unit economics","> 3:1 for sustainable growth","LTV, CAC",Gauge or ratio
CAC Payback Period,Payback,Unit Economics,"CAC / (ARPA * Gross Margin %)","Months to recover acquisition cost","< 12 months for healthy SaaS","CAC, ARPA, GrossMargin",KPI card
Quick Ratio,Quick Ratio,Growth,"(New MRR + Expansion MRR) / (Churned MRR + Contraction MRR)","Growth efficiency metric","> 4:1 indicates strong growth","MRR components",KPI card
Rule of 40,Rule of 40,Growth,"Revenue Growth % + Profit Margin %","Combined growth and profitability","> 40% is excellent","Growth Rate, Margin",KPI card
Trial to Paid Conversion,Trial Conv,Conversion,"Paid Signups / Trial Signups * 100","Trial effectiveness","15-25% for freemium; 40-60% for trials","Activation Rate, TTV",Funnel
Activation Rate,Activation,Conversion,"Users Reaching Aha Moment / Signups * 100","Percentage completing key action","Varies - define activation first","Trial Conv, Feature Adoption",Funnel
Daily Active Users,DAU,Engagement,"COUNT(DISTINCT users with activity today)","Daily product engagement","Track trend; compare to MAU","WAU, MAU, DAU/MAU",Line chart
Monthly Active Users,MAU,Engagement,"COUNT(DISTINCT users with activity this month)","Monthly product engagement","Growing indicates product health","DAU, Stickiness",Line chart
Stickiness,DAU/MAU,Engagement,"DAU / MAU * 100","Product habit formation","> 20% good; > 50% exceptional","DAU, MAU, Session Frequency",Line chart
Feature Adoption Rate,Feature Use,Engagement,"Users Using Feature / MAU * 100","Uptake of specific features","> 50% for core features","Activation, Engagement",Bar chart
