Category,Guideline,Do,Don't,Example
Layout,5-Second Rule,"Put most important insight at top-left where eyes land first","Bury key metrics at bottom of page","CEO should see revenue trend in 5 seconds without scrolling"
Layout,Inverted Pyramid,"Structure: KPIs at top → Trends in middle → Details at bottom","Start with detailed tables; hide summary at bottom","Top row: 3-5 KPI cards; Middle: Line charts; Bottom: Detailed table"
Layout,Visual Hierarchy,"Use size and position to indicate importance","Equal sizing for all elements; no focal point","Largest chart for most important metric; smaller for supporting"
Layout,White Space,"Give elements room to breathe; avoid cramped layouts","Fill every pixel with data; no margins","Minimum 16px padding between dashboard sections"
Layout,Grid System,"Align elements to consistent grid for clean appearance","Random positioning of elements","Use 12-column grid; align chart edges"
Layout,Responsive Design,"Design for multiple screen sizes; test on mobile","Fixed-width layouts that break on small screens","Cards stack vertically on mobile; charts resize"
Color,Consistent Meaning,"Use same colors for same meanings throughout","Red means growth in one place and decline in another","Red = negative/alert; Green = positive/growth everywhere"
Color,Limit Palette,"Use 3-5 colors maximum per visualization","Rainbow of colors with no meaning","Primary brand color + 2-3 supporting colors"
Color,Colorblind Safe,"Test with colorblind simulation; avoid red-green only","Rely solely on red vs green for meaning","Use patterns, labels, or blue-orange instead"
Color,Sequential Palettes,"Use for continuous data showing magnitude","Categorical colors for numerical ranges","Light to dark blue for low to high values"
Color,Diverging Palettes,"Use for data with meaningful midpoint (pos/neg)","Sequential palette for data diverging from center","Blue-white-red for profit/loss or sentiment"
Color,Background Contrast,"Ensure sufficient contrast for readability","Light text on light background; low contrast","WCAG AA contrast ratio minimum (4.5:1 for text)"
Typography,Hierarchy,"Use font size to establish content hierarchy","Same size for titles, labels, and values","Title: 24px; Subtitle: 16px; Body: 14px; Labels: 12px"
Typography,Readability,"Choose readable fonts; limit to 2 families","Decorative fonts for data; too many font families","Sans-serif for data (Inter, Roboto); consistent weights"
Typography,Number Formatting,"Format numbers for readability: 1.2M not 1234567","Raw unformatted numbers","$1.2M; 45.3%; 1,234 users"
Typography,Axis Labels,"Label axes clearly; include units","Unlabeled axes; cryptic abbreviations","Revenue (USD, Millions) not just 'Rev'"
Interactivity,Drill Down,"Let users click to explore underlying data","Force users to ask for details separately","Click bar to see breakdown by category"
Interactivity,Filters,"Provide relevant filters; show active filter state","Too many filters; hidden filter state","Date range, region, segment filters clearly visible"
Interactivity,Tooltips,"Show details on hover without cluttering view","Tooltips blocking other content","Hover shows: Date, Value, % Change, Comparison"
Interactivity,Linked Views,"Connect related charts; filter one affects others","Isolated charts with no relationship","Clicking segment in pie filters line chart"
Content,Title Everything,"Every chart needs a clear descriptive title","Untitled charts relying on context","Revenue by Region (Q4 2024) not just 'Revenue'"
Content,Annotate Insights,"Highlight anomalies and key points","Let users discover insights alone","Arrow pointing to spike with explanation text"
Content,Show Context,"Include comparison: vs target, last period, benchmark","Single number with no reference point","Revenue: $1.2M (↑ 15% YoY, 5% above target)"
Content,Data Freshness,"Clearly show when data was last updated","Stale data without indication","Last updated: 2024-01-15 08:00 UTC"
Content,Source Attribution,"Cite data source for credibility","Unknown data origin","Source: Sales Database, Marketing API"
