Chart Type,Best For,Data Type,Comparison Type,Python Code,Color Guidance,Accessibility,Dashboard Tip
Line Chart,Trends over time and continuous data,Time-series,Trend,"plt.plot(df['date'], df['value']); plt.xlabel('Date'); plt.ylabel('Value')","Sequential blue/green for single metric; categorical for multiple series","Add markers for key data points; use sufficient line thickness","Place in middle section for trend visibility"
Bar Chart,Comparing categories or rankings,Categorical,Ranking Comparison,"plt.bar(df['category'], df['value']); plt.xticks(rotation=45)","Single color for one series; categorical for grouped","Ensure sufficient contrast between bars; label values directly","Use horizontal layout if labels are long"
Horizontal Bar Chart,Ranking with long labels,Categorical,Ranking,"plt.barh(df['category'], df['value'])","Single sequential color from light to dark by value","Order bars by value for easy scanning","Great for top-N lists and leaderboards"
Stacked Bar Chart,Part-to-whole over categories,Categorical,Composition,"df.plot(kind='bar', stacked=True)","Use distinct colors for each segment; max 5-6 segments","Include legend; consider labels on large segments","Good for showing composition across time periods"
Grouped Bar Chart,Comparing multiple series by category,Categorical,Comparison,"df.plot(kind='bar', position='dodge')","Categorical palette with clear distinction between groups","Limit to 3-4 groups per category; use legend","Best for A/B comparisons or time period comparisons"
Pie Chart,Simple part-to-whole (max 5 segments),Categorical,Composition,"plt.pie(df['value'], labels=df['category'], autopct='%1.1f%%')","High contrast between adjacent segments","Limit to 5 segments; order by size; include percentages","Avoid in dashboards - use donut or bar instead"
Donut Chart,Part-to-whole with center metric,Categorical,Composition,"plt.pie(df['value'], wedgeprops={'width': 0.4})","High contrast colors; use brand colors if relevant","Include total or key metric in center","Good for single KPI with breakdown"
Area Chart,Trends with volume emphasis,Time-series,Trend Volume,"plt.fill_between(df['date'], df['value'], alpha=0.3)","Light fill with darker line; sequential colors","Ensure baseline is visible; use transparency","Shows magnitude over time better than line"
Stacked Area Chart,Composition over time,Time-series,Composition Trend,"df.plot(kind='area', stacked=True)","Distinct colors for each layer; limit layers to 5","Consider 100% stacked for proportion focus","Good for market share or category mix over time"
Scatter Plot,Relationship between two variables,Numerical,Correlation,"plt.scatter(df['x'], df['y'])","Single color with alpha for density; color by category if needed","Add trendline for correlation; include R-squared","Use for identifying outliers and patterns"
Bubble Chart,Three-variable relationships,Numerical,Correlation Size,"plt.scatter(df['x'], df['y'], s=df['size']*100)","Color by category if applicable; size legend essential","Ensure bubbles don't overlap too much","Include size legend; limit to important points"
Heatmap,Correlations or matrix data,Numerical Matrix,Distribution,"sns.heatmap(df.corr(), annot=True, cmap='RdBu_r')","Diverging palette for correlation (-1 to 1); sequential for counts","Include value annotations; use colorblind-safe palette","Perfect for cohort retention tables"
Histogram,Distribution of single variable,Numerical,Distribution,"plt.hist(df['value'], bins=30)","Single color; consider outlier highlighting","Include mean/median line; label bin count","Use to understand data distribution before analysis"
Box Plot,Distribution comparison,Numerical,Distribution Comparison,"sns.boxplot(data=df, x='category', y='value')","One color per category; highlight outliers","Explain quartile meanings; include n count","Great for comparing distributions across groups"
Violin Plot,Distribution with density,Numerical,Distribution,"sns.violinplot(data=df, x='category', y='value')","Paired colors for split violins; sequential otherwise","More intuitive than box plots for some users","Good for showing bimodal distributions"
Funnel Chart,Sequential step conversion,Categorical,Drop-off,"import plotly.express as px; px.funnel(df, x='count', y='stage')","Blues from dark to light (top to bottom); or brand colors","Label conversion percentages between stages","Essential for showing conversion drop-off"
Waterfall Chart,Cumulative effect of values,Categorical,Contribution,"Use plotly or custom matplotlib with positive/negative coloring","Green for positive; red for negative; gray for subtotals","Start with total; show increases and decreases clearly","Great for bridge charts (start to end explanation)"
Gauge Chart,Single KPI with target,Single Value,Target,"Use plotly Indicator or custom graphic","Green/yellow/red zones based on targets","Include actual value and target","Use sparingly - one per major KPI"
KPI Card,Single important metric,Single Value,Status,"Text display with conditional formatting","Color based on performance (green/amber/red)","Large font; include trend arrow and context","Top of dashboard for most important metrics"
Sparkline,Compact trend indicator,Time-series,Trend,"Line chart rendered small without axes","Single color; consistent across dashboard","May be too small for some users","Great alongside KPI cards to show trend"
Table,Detailed data viewing,Multi-dimensional,Detail,"df.style.format() with conditional formatting","Alternate row colors; highlight important values","Ensure sufficient contrast; limit columns","Place at bottom of dashboard for drill-down"
