Metric Name,Abbreviation,Category,Formula,Interpretation,Good Benchmark,Related Metrics,Visualization
Click-Through Rate,CTR,Advertising,"Clicks / Impressions * 100","Ad engagement rate","2-5% search; 0.5-1% display","CPC, Quality Score",Line chart
Cost Per Click,CPC,Advertising,"Ad Spend / Clicks","Cost for each click","Varies by industry/keyword","CTR, CPA",KPI by channel
Cost Per Acquisition,CPA,Advertising,"Ad Spend / Conversions","Cost per conversion","Should be < customer value","CAC, LTV, ROAS",Bar by channel
Cost Per Mille,CPM,Advertising,"(Ad Spend / Impressions) * 1000","Cost per thousand impressions","Varies by channel/targeting","Reach, Frequency",KPI card
Return on Ad Spend,ROAS,Advertising,"Revenue from Ads / Ad Spend","Revenue per ad dollar","3:1+ typically profitable","ROI, CPA",Line chart
Impression Share,ImpShare,Advertising,"Your Impressions / Total Eligible Impressions * 100","Ad visibility percentage","Depends on strategy; > 80% for brand","Budget, Quality Score",Gauge
Quality Score,QS,Advertising,"Platform score 1-10 based on relevance","Ad quality indicator (Google)","7+ is good; 9+ is excellent","CTR, Landing Page Score",Bar chart
Customer Acquisition Cost,CAC,Acquisition,"Total Marketing Spend / New Customers","Full cost to acquire customer","CAC < LTV/3","LTV, Payback Period",KPI card trend
Marketing Qualified Lead,MQL,Lead Gen,"COUNT leads meeting marketing criteria","Leads ready for nurturing","Growing count; stable conversion","SQL, Lead Velocity",Line chart
Sales Qualified Lead,SQL,Lead Gen,"COUNT leads meeting sales criteria","Leads accepted by sales","MQL → SQL > 30%","MQL, Opportunity, Win Rate",Line chart
Lead Conversion Rate,Lead Conv,Lead Gen,"Customers / Leads * 100","Lead to customer rate","10-20% for B2B","SQL Conv, Sales Cycle",Funnel
Lead Velocity Rate,LVR,Lead Gen,"(MQLs This Month - MQLs Last Month) / MQLs Last Month * 100","Growth in qualified leads","Positive indicates pipeline growth","MQL Count, Revenue Pipeline",Line chart
Cost Per Lead,CPL,Lead Gen,"Marketing Spend / Leads Generated","Cost to generate one lead","Varies by industry; track trend","CPA, Lead Quality",Bar by channel
Email Open Rate,Open Rate,Email,"Opens / Emails Delivered * 100","Email engagement","15-25% typical","Subject Line, Send Time",Line chart
Email Click Rate,Email CTR,Email,"Clicks / Emails Delivered * 100","Email action rate","2-5% typical","Open Rate, CTA Copy",Line chart
Email Unsubscribe Rate,Unsub Rate,Email,"Unsubscribes / Emails Delivered * 100","List health indicator","< 0.5% is healthy","Complaint Rate, List Hygiene",Line chart
Email Bounce Rate,Bounce Rate,Email,"Bounced / Emails Sent * 100","Deliverability issue indicator","< 2% is healthy","List Quality, Deliverability",Line chart
Social Engagement Rate,Engagement,Social,"(Likes + Comments + Shares) / Followers * 100","Content resonance","1-5% depends on platform","Reach, Follower Growth",Bar by platform
Social Reach,Reach,Social,"Unique users who saw content","Content visibility","Growing indicates growth","Impressions, Engagement",Line chart
Follower Growth Rate,Follower Grw,Social,"(New Followers - Lost Followers) / Total Followers * 100","Audience growth","Positive and accelerating","Engagement, Content Quality",Line chart
Website Bounce Rate,Bounce,Website,"Single-page Sessions / Sessions * 100","Landing page effectiveness","< 40% for content; < 60% for landing","Time on Site, Pages/Session",Line chart by page
Pages Per Session,PPS,Website,"Pageviews / Sessions","Content engagement depth","> 2 for content sites","Bounce Rate, Session Duration",KPI card
Average Session Duration,Avg Session,Website,"Total Session Time / Sessions","Time spent per visit","> 2 min for content sites","Bounce Rate, Pages/Session",KPI card
Conversion Rate,Conv Rate,Website,"Conversions / Visitors * 100","Website goal completion","2-5% for lead gen","Traffic, Landing Page Quality",Funnel
