Workflow Name,Step Number,Step Name,Description,Questions to Ask,Tools/Commands,Outputs,Common Mistakes
Exploratory Data Analysis,1,Define Objectives,Understand what insights are needed,"What business questions should this EDA answer? Who is the primary audience for these findings?","None - conversation with stakeholder","Clear list of questions to answer","Starting analysis without clear goals"
Exploratory Data Analysis,2,Data Profiling,Understand data structure shape and types,"How many rows do you expect? What date range should I focus on?","df.info(), df.describe(), df.isnull().sum(), df.dtypes","Data profile report with shape types and missing values","Skipping profiling and diving straight into analysis"
Exploratory Data Analysis,3,Data Cleaning,Handle missing/duplicates and fix types,"Are there known quality issues? Should we impute or drop?","df.fillna(), df.drop_duplicates(), df.astype(); Save script to etl/ folder","Cleaned dataset ready for analysis","Skipping cleaning leads to wrong distributions"
Exploratory Data Analysis,4,Univariate Analysis,Analyze individual columns distributions,"Are there any columns I should focus on specifically?","df.hist(), df.value_counts(), df.describe()","Histograms and value distributions for key columns","Not checking for outliers or unexpected values"
Exploratory Data Analysis,5,Bivariate Analysis,Relationships between variables,"Which relationships are most important to understand?","df.corr(), scatter plots, grouped statistics","Correlation matrix and scatter plots showing relationships","Missing important correlations by not testing all pairs"
Exploratory Data Analysis,6,Document Findings,Summarize insights,"What format do you prefer for the findings summary?","Markdown report generation","Summary report with key insights and recommendations","Not prioritizing findings by business impact"
Dashboard Creation,1,Define Audience,Who will use the dashboard and for what purpose,"Is this for executives (high-level KPIs) or analysts (detailed breakdowns)? How often will they view it?","None - conversation","Clear audience definition and use case","Building for wrong audience (too detailed for execs or too simple for analysts)"
Dashboard Creation,2,Identify KPIs,What metrics matter most to track,"What are your top 5-7 metrics? Do you have targets for each?","Search industry metrics database","Prioritized list of KPIs with targets","Too many metrics (7+ KPIs causes cognitive overload)"
Dashboard Creation,3,Data Preparation,Get data into usable format,"Which tables contain this data? What granularity (daily/weekly)?","SQL queries, pandas transformations","Clean aggregated data ready for visualization","Not validating data before visualization"
Dashboard Creation,4,Chart Selection,Choose appropriate visualizations,"Any chart preferences? Need to support mobile viewing?","Search chart database","Chart type selected for each KPI","Using pie charts for more than 5 categories"
Dashboard Creation,5,Layout Design,Arrange components following best practices,"Should I follow inverted pyramid (KPIs top trends middle details bottom)?","Dashboard layout template","Final dashboard layout","Burying key insights at bottom of page"
A/B Test Analysis,1,Define Hypothesis,What are we testing and what do we expect,"What is the primary metric? What is the minimum detectable effect you care about?","None - conversation","Clear null and alternative hypothesis documented","Not defining success criteria upfront"
A/B Test Analysis,2,Check Sample Size,Sufficient data for statistical significance,"How long has the test been running? What is baseline conversion rate?","Power analysis calculator","Required vs actual sample size comparison","Stopping test too early (peeking problem)"
A/B Test Analysis,3,Validation Checks,Data quality and test validity,"Were users randomly assigned? Any known issues with test setup?","SRM check, novelty effect detection","Test validity report","Ignoring Sample Ratio Mismatch (SRM)"
A/B Test Analysis,4,Statistical Analysis,Calculate significance and effect size,"What confidence level is required (95% or 99%)?","t-test, chi-square, confidence interval calculation","P-value, confidence interval, effect size","Not accounting for multiple comparisons"
A/B Test Analysis,5,Interpret Results,What does this mean for business,"Should we roll out, iterate, or abandon based on results?","Business impact calculation","Actionable recommendation with expected impact","Declaring winner without considering practical significance"
Cohort Analysis,1,Define Cohort,How to group users for analysis,"Should I cohort by signup date, first purchase, or another event?","None - conversation","Cohort definition documented","Using wrong cohort definition for the question"
Cohort Analysis,2,Define Metric,What to measure over time,"Should I track retention, revenue, or activity? Over what time periods?","None - conversation","Metric and time periods defined","Measuring wrong metric for the business question"
Cohort Analysis,3,Data QC & Prep,Clean data and handle nulls before grouping,"Are user IDs unique? Any null dates?","check_duplicates(), handled nulls; Save script to etl/ folder","Clean cohort/event dataset","Including null dates in cohort groups"
Cohort Analysis,4,Build Cohort Table,SQL for cohort pivot table,"Is there a specific date range to analyze?","SQL with window functions, pivot tables","Cohort table with periods as columns","Off-by-one errors in period calculations"
Cohort Analysis,5,Visualize,Create retention heatmap,"Any specific cohorts to highlight?","Heatmap visualization","Color-coded retention heatmap","Using colors that don't show progression clearly"
Cohort Analysis,6,Insights,Identify patterns and explain why,"Which cohorts performed best/worst?","Comparative analysis","Insights report with recommended actions","Not investigating WHY cohorts differ"
Funnel Analysis,1,Define Steps,What are the funnel stages in order,"What is the first step? What is the final conversion event?","None - conversation","Ordered list of funnel steps","Missing steps or having steps out of order"
Funnel Analysis,2,Data QC & Prep,Ensure event data is clean,"Are event names standardized? Any missing sessions?","Mapping event names, removing bots; Save script to etl/ folder","Clean event stream","Counting duplicate events"
Funnel Analysis,3,Count Users,How many users at each step,"What time window should I use for the funnel?","SQL to count distinct users per step","User counts at each stage","Counting sessions instead of unique users"
Funnel Analysis,4,Calculate Drop-off,Where are users leaving,"Are there any known issues at specific steps?","Conversion rate between steps","Drop-off rates between each step","Comparing non-sequential steps"
Funnel Analysis,5,Visualize,Create funnel chart,"Prefer horizontal bars or funnel shape?","Funnel or horizontal bar visualization","Funnel visualization","Not labeling percentages clearly"
Funnel Analysis,6,Recommendations,How to improve conversion,"What lever do you have to improve each step?","Analysis of biggest opportunities","Prioritized list of improvement suggestions","Focusing on small improvements instead of biggest drop-offs"
Time Series Analysis,1,Define Metric,What to analyze over time,"Daily revenue, weekly users, or monthly orders? How far back?","None - conversation","Metric and time range defined","Wrong granularity (too granular hides trends or too aggregated misses patterns)"
Time Series Analysis,2,Data QC & Prep,Handle gaps and outliers in time series,"Missing dates? Extreme outliers?","Resampling, outlier detection; Save script to etl/ folder","Clean time series","Interpolating missing data incorrectly"
Time Series Analysis,3,Aggregate,Group by time period,"Any specific date filters? Exclude weekends?","SQL with DATE_TRUNC, GROUP BY","Aggregated time series data","Timezone issues in date grouping"
Time Series Analysis,4,Decompose,Identify trend seasonality residual,"Is there known seasonality (weekly/monthly/yearly)?","Seasonal decomposition, moving averages","Decomposed components visualization","Ignoring seasonality when comparing periods"
Time Series Analysis,5,Compare Periods,YoY MoM WoW comparisons,"Which comparison periods matter most?","LAG functions, period-over-period calculations","Comparison table with growth rates","Comparing incomplete periods"
Time Series Analysis,6,Forecast (optional),Predict future values,"Do you need forecasting? What horizon?","Simple forecasting models","Forecast with confidence intervals","Overfitting on historical data"
Customer Segmentation,1,Define Variables,What to segment on,"RFM, behavior, or demographics? What actions should differ by segment?","None - conversation","Segmentation variables defined","Choosing variables that don't drive different actions"
Customer Segmentation,2,Feature Engineering,Calculate segment variables,"What time window for calculating features?","SQL or Python for RFM or other features","Feature table ready for segmentation","Using raw values instead of normalized scores"
Customer Segmentation,3,Clustering,Group similar customers,"How many segments should we create?","K-means or rule-based segmentation","Cluster assignments","Too many or too few segments"
Customer Segmentation,4,Profile Segments,Describe each group characteristics,"Which metrics matter most for describing segments?","Aggregate statistics per segment","Segment profile table","Not validating segments are actionable"
Customer Segmentation,5,Actionable Names,Name the segments memorably,"Any naming conventions to follow?","Creative naming","Named segments (e.g., Champions, At Risk)","Generic names that don't inspire action"
Data Cleaning Pipeline,1,Profiling,Understand data quality issues,"What quality issues are you aware of?","df.isnull().sum(), df.duplicated().sum()","Data quality report","Assuming data is clean without checking"
Data Cleaning Pipeline,2,Missing Values,Handle nulls appropriately,"Can I drop rows with missing data or should I impute?","fillna(), dropna(), imputation strategies","Data with handled missing values","Using wrong imputation strategy (mean for skewed data)"
Data Cleaning Pipeline,3,Duplicates,Remove redundant rows,"What makes a row a duplicate (exact match or by key)?","drop_duplicates(), deduplication logic","Deduplicated data","Removing wrong duplicates (losing valid data)"
Data Cleaning Pipeline,4,Outliers,Handle extreme values,"Should outliers be removed, capped, or kept?","IQR, Z-score detection, capping","Data with handled outliers","Removing outliers that are valid data points"
Data Cleaning Pipeline,5,Validation,Verify clean data meets expectations,"What validation checks should pass?","Assertions, before/after comparison","Validation report confirming data quality","Not comparing before/after statistics"
Ad-hoc Query Analysis,1,Clarify Question,What exactly do they need,"Can you give me an example of the desired output format?","None - conversation","Clear requirements documented","Assuming you understand without confirming"
Ad-hoc Query Analysis,2,Identify Tables,Where is the data located,"Which database/schema/tables contain this data? Any documentation?","Schema exploration, data dictionary","Table and column mapping","Joining wrong tables or using outdated sources"
Ad-hoc Query Analysis,3,Write Query,Draft SQL or Python code,"None - writing code","SQL or Python script","Working query with explanation","Not explaining the logic behind complex queries"
Ad-hoc Query Analysis,4,Validate,Check results make sense,"Does the output look correct? Check this sample.","Sample verification, total checks","Validated results","Delivering without sanity checking totals"
Ad-hoc Query Analysis,5,Iterate,Refine based on feedback,"Does this answer your question? Any adjustments needed?","Query modifications","Final refined query and results","Not iterating when initial results are wrong"
KPI Reporting,1,Define KPIs,Which metrics to report,"What are the most important KPIs for this report? Any targets?","Search industry metrics","Selected KPIs with targets","Too many KPIs dilute focus"
KPI Reporting,2,Calculate,Compute current values,"What time period should I calculate for?","SQL for each KPI calculation","Current KPI values","Calculation errors in complex KPIs"
KPI Reporting,3,Compare,vs previous period or target,"Compare to last period, last year, or target?","YoY, MoM, vs goal calculations","Comparison table with deltas","Comparing to wrong baseline"
KPI Reporting,4,Format,Create readable report,"Prefer table, cards, or dashboard format?","Report formatting","Formatted KPI report","Poor formatting reduces readability"
